"subids","age","gender","comments","exp_about","exp_unclear","exp_strategy","exp_external_aid","exp_improve","approval_time","exp_time","trial_type","trial_time","question","trial_num_within_block","shape","response","correct","block","question_and_shape"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2565,"rectangle",1,"rhombus","No",TRUE,"2","rectangle_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2072,"parallelogram",2,"square","Yes",TRUE,"2","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2080,"square",3,"rectangle","No",TRUE,"2","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2290,"square",4,"parallelogram","No",TRUE,"2","square_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3872,"rhombus",5,"rectangle","No",TRUE,"2","rhombus_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",4163,"square",6,"rhombus","No",TRUE,"2","square_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2929,"rhombus",7,"parallelogram","No",TRUE,"2","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",6746,"parallelogram",8,"parallelogram","Yes",TRUE,"2","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2619,"parallelogram",9,"rhombus","Yes",TRUE,"2","parallelogram_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1513,"square",10,"square","Yes",TRUE,"2","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",5161,"rectangle",11,"parallelogram","Yes",FALSE,"2","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2921,"rectangle",12,"rectangle","Yes",TRUE,"2","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3234,"rhombus",13,"square","Yes",TRUE,"2","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2931,"rhombus",14,"rhombus","Yes",TRUE,"2","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1775,"rectangle",15,"square","No",FALSE,"2","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",6618,"parallelogram",16,"rectangle","Yes",TRUE,"2","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3622,"rhombus",1,"rhombus","Yes",TRUE,"3","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2134,"square",2,"rhombus","No",TRUE,"3","square_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2294,"parallelogram",3,"square","Yes",TRUE,"3","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1758,"square",4,"parallelogram","No",TRUE,"3","square_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2366,"parallelogram",5,"rhombus","Yes",TRUE,"3","parallelogram_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2253,"rectangle",6,"rectangle","Yes",TRUE,"3","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2487,"rhombus",7,"square","Yes",TRUE,"3","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2736,"rhombus",8,"parallelogram","No",TRUE,"3","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2802,"rhombus",9,"rectangle","No",TRUE,"3","rhombus_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3733,"rectangle",10,"parallelogram","No",TRUE,"3","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",4674,"rectangle",11,"square","No",FALSE,"3","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",7800,"parallelogram",12,"rectangle","Yes",TRUE,"3","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1649,"square",13,"rectangle","No",TRUE,"3","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3955,"rectangle",14,"rhombus","Yes",FALSE,"3","rectangle_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3659,"parallelogram",15,"parallelogram","Yes",TRUE,"3","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1257,"square",16,"square","Yes",TRUE,"3","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2652,"rectangle",1,"rhombus","No",TRUE,"4","rectangle_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2021,"square",2,"square","Yes",TRUE,"4","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2473,"rectangle",3,"square","Yes",TRUE,"4","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2350,"rectangle",4,"rectangle","Yes",TRUE,"4","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2442,"rhombus",5,"square","Yes",TRUE,"4","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3187,"parallelogram",6,"rhombus","Yes",TRUE,"4","parallelogram_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3097,"rhombus",7,"parallelogram","Yes",FALSE,"4","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",4024,"square",8,"rhombus","No",TRUE,"4","square_rhombus"
