"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","parallelogram","no","rhombus",1,"pretest","parallelogram","parallelogram_rhombus",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","square","no","rectangle",2,"pretest","square","square_rectangle",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","parallelogram","no","rectangle",3,"pretest","parallelogram","parallelogram_rectangle",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rectangle","no","rhombus",4,"pretest","rectangle","rectangle_rhombus",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rhombus","no","rectangle",5,"pretest","rhombus","rhombus_rectangle",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rhombus","no","square",6,"pretest","rhombus","rhombus_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rhombus","no","parallelogram",7,"pretest","rhombus","rhombus_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","square","no","parallelogram",8,"pretest","square","square_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","square","no","rhombus",9,"pretest","square","square_rhombus",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rectangle","no","parallelogram",10,"pretest","rectangle","rectangle_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","parallelogram","no","square",11,"pretest","parallelogram","parallelogram_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"relational","rectangle","no","square",12,"pretest","rectangle","rectangle_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rectangle","no","square",1,"pretest","square","rectangle_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rhombus","no","square",2,"pretest","square","rhombus_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","parallelogram","no","square",3,"pretest","square","parallelogram_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","square","yes","square",4,"pretest","square","square_square",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","square","no","rhombus",5,"pretest","rhombus","square_rhombus",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rectangle","no","rhombus",6,"pretest","rhombus","rectangle_rhombus",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","parallelogram","yes","rhombus",7,"pretest","rhombus","parallelogram_rhombus",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rhombus","yes","rhombus",8,"pretest","rhombus","rhombus_rhombus",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rectangle","no","parallelogram",9,"pretest","parallelogram","rectangle_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rhombus","yes","parallelogram",10,"pretest","parallelogram","rhombus_parallelogram",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","square","no","parallelogram",11,"pretest","parallelogram","square_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","parallelogram","no","parallelogram",12,"pretest","parallelogram","parallelogram_parallelogram",FALSE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","parallelogram","no","rectangle",13,"pretest","rectangle","parallelogram_rectangle",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","rhombus","no","rectangle",14,"pretest","rectangle","rhombus_rectangle",TRUE
1,"34","f","no","I'm not sure. On the surfac it seems to be about knowledge and learning about shapes but possibly to test people's knowledge of shapes they don't hear about as often.",2016-01-25 22:56:15,907658,"passive_passive","rhombus",82131,"entity","square","no","rectangle",15,"pretest","rectangle","square_rectangle",FALSE
