"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_and_shape","correct"
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","no","square",1,"posttest","rhombus_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","yes","parallelogram",2,"posttest","square_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","no","rectangle",3,"posttest","parallelogram_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","yes","rectangle",4,"posttest","square_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","no","rhombus",5,"posttest","parallelogram_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","yes","parallelogram",6,"posttest","rhombus_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","no","square",7,"posttest","rectangle_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","yes","rhombus",8,"posttest","square_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","no","square",9,"posttest","parallelogram_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","yes","parallelogram",10,"posttest","rectangle_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","no","rhombus",11,"posttest","rectangle_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","yes","rectangle",12,"posttest","rhombus_rectangle",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rhombus","yes","rhombus",1,"posttest","rhombus_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rhombus","yes","rectangle",2,"posttest","rectangle_rhombus",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rhombus","yes","square",3,"posttest","square_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rhombus","yes","parallelogram",4,"posttest","parallelogram_rhombus",FALSE
